ad_archive_id,page_id,page_name,ad_creation_time,ad_delivery_start_time,ad_delivery_stop_time,byline,ad_creative_bodies,ad_creative_link_titles,ad_creative_link_captions,ad_creative_link_descriptions,impressions,spend,currency,demographic_distribution,delivery_by_region,publisher_platforms,estimated_audience_size,languages
538857265624547,478095872050995,"Stroe Felix",2024-11-23,2024-11-23,,"Partidul Social Democrat Filiala Constanta","CMF11240017
VOTEAZĂ echipa PSD pe listele de SENAT și DEPUTAȚI! #CaleaSigurăPentruRomânia

Fiecare localitate din județul Constanța merită să aibă infrastructură la nivel european, să aibă surse de venit și locuri de muncă civilizate pentru cetățenii ei, acces la servicii medicale, educație de calitate și oportunități pentru viitor.

Astăzi împreună cu Daniel Georgescu și echipa PSD, am fost pe străzile din Hârșova. Am discutat cu cetățenii despre nevoile și prioritățile lor, pentru că nu poți guverna pentru oameni dacă nu cunoști necesitățile lor.

Continuăm să fim alături de fiecare comunitate!",,,,"lower_bound: 40000, upper_bound: 44999","lower_bound: 400, upper_bound: 499",RON,"{""age"":""18-24"",""gender"":""female"",""percentage"":0.086815},{""age"":""45-54"",""gender"":""male"",""percentage"":0.104283},{""age"":""65+"",""gender"":""male"",""percentage"":0.026689},{""age"":""65+"",""gender"":""female"",""percentage"":0.056704},{""age"":""55-64"",""gender"":""unknown"",""percentage"":0.00019},{""age"":""55-64"",""gender"":""male"",""percentage"":0.059128},{""age"":""55-64"",""gender"":""female"",""percentage"":0.090118},{""age"":""45-54"",""gender"":""unknown"",""percentage"":0.000547},{""age"":""45-54"",""gender"":""female"",""percentage"":0.098484},{""age"":""18-24"",""gender"":""male"",""percentage"":0.082323},{""age"":""35-44"",""gender"":""unknown"",""percentage"":0.001307},{""age"":""35-44"",""gender"":""male"",""percentage"":0.112672},{""age"":""35-44"",""gender"":""female"",""percentage"":0.073625},{""age"":""25-34"",""gender"":""unknown"",""percentage"":0.002638},{""age"":""25-34"",""gender"":""male"",""percentage"":0.122368},{""age"":""25-34"",""gender"":""female"",""percentage"":0.076643},{""age"":""18-24"",""gender"":""unknown"",""percentage"":0.005133},{""age"":""65+"",""gender"":""unknown"",""percentage"":0.000333}","{""region"":""Alba County"",""percentage"":9.2e-5},{""region"":""Odessa Oblast"",""percentage"":2.3e-5},{""region"":""Ia\u0219i County"",""percentage"":0.000161},{""region"":""Ilfov County"",""percentage"":0.002329},{""region"":""Lazio"",""percentage"":2.3e-5},{""region"":""Lower Austria"",""percentage"":2.3e-5},{""region"":""Mecklenburg-Vorpommern"",""percentage"":2.3e-5},{""region"":""Mehedin\u021bi County"",""percentage"":0.000161},{""region"":""Mure\u0219 County"",""percentage"":9.2e-5},{""region"":""Neam\u021b County"",""percentage"":2.3e-5},{""region"":""Niedersachsen"",""percentage"":6.9e-5},{""region"":""Nordrhein-Westfalen"",""percentage"":4.6e-5},{""region"":""North Brabant"",""percentage"":2.3e-5},{""region"":""Olt County"",""percentage"":0.000438},{""region"":""H\u00eence\u0219ti District"",""percentage"":2.3e-5},{""region"":""Prahova County"",""percentage"":0.00316},{""region"":""Rheinland-Pfalz"",""percentage"":2.3e-5},{""region"":""Sibiu County"",""percentage"":0.000507},{""region"":""Silistra Province"",""percentage"":6.9e-5},{""region"":""Suceava County"",""percentage"":2.3e-5},{""region"":""Teleorman County"",""percentage"":9.2e-5},{""region"":""Timi\u0219 County"",""percentage"":0.000438},{""region"":""Tulcea County"",""percentage"":4.6e-5},{""region"":""Vaslui County"",""percentage"":0.000185},{""region"":""Veneto"",""percentage"":2.3e-5},{""region"":""Vojvodina"",""percentage"":2.3e-5},{""region"":""Vrancea County"",""percentage"":0.000138},{""region"":""Ialomi\u021ba County"",""percentage"":0.000392},{""region"":""Hunedoara County"",""percentage"":6.9e-5},{""region"":""Andalusia"",""percentage"":2.3e-5},{""region"":""Cluj County"",""percentage"":0.000138},{""region"":""Arge\u0219 County"",""percentage"":0.001661},{""region"":""Bac\u0103u County"",""percentage"":4.6e-5},{""region"":""Bayern"",""percentage"":0.000138},{""region"":""Bihor County"",""percentage"":2.3e-5},{""region"":""Bra\u0219ov County"",""percentage"":0.000969},{""region"":""Br\u0103ila County"",""percentage"":0.000231},{""region"":""Buz\u0103u County"",""percentage"":0.000738},{""region"":""B\u00e1cs-Kiskun County"",""percentage"":2.3e-5},{""region"":""Capital Region of Denmark"",""percentage"":4.6e-5},{""region"":""Cara\u0219-Severin County"",""percentage"":0.000138},{""region"":""Central Serbia"",""percentage"":4.6e-5},{""region"":""Comunidad Valenciana"",""percentage"":2.3e-5},{""region"":""Hessen"",""percentage"":2.3e-5},{""region"":""Constan\u021ba County"",""percentage"":0.981087},{""region"":""Covasna County"",""percentage"":9.2e-5},{""region"":""C\u0103l\u0103ra\u0219i County"",""percentage"":0.000484},{""region"":""Dolj County"",""percentage"":0.000761},{""region"":""D\u00e2mbovi\u021ba County"",""percentage"":0.002007},{""region"":""England"",""percentage"":4.6e-5},{""region"":""Flemish Region"",""percentage"":4.6e-5},{""region"":""Gala\u021bi County"",""percentage"":0.000185},{""region"":""Giurgiu County"",""percentage"":0.000761},{""region"":""Gorj County"",""percentage"":0.000692},{""region"":""Guanajuato"",""percentage"":2.3e-5},{""region"":""Harghita County"",""percentage"":0.000346},{""region"":""V\u00e2lcea County"",""percentage"":0.000461}","facebook,instagram","lower_bound: 100001, upper_bound: 500000",ro
3903105423307347,406469825893586,"Daniel Gheorghe Georgescu",2024-11-22,2024-11-22,,"PSD Constanta","Vreau să păstrăm ceea ce ne face speciali și autentici! 
#ConstanțaînapoiînTOP #PSDConstanța #Hârșova 
CMF 11240017",,,,"lower_bound: 20000, upper_bound: 24999","lower_bound: 0, upper_bound: 99",RON,"{""age"":""18-24"",""gender"":""female"",""percentage"":0.041484},{""age"":""45-54"",""gender"":""male"",""percentage"":0.135102},{""age"":""65+"",""gender"":""male"",""percentage"":0.053119},{""age"":""65+"",""gender"":""female"",""percentage"":0.084982},{""age"":""55-64"",""gender"":""unknown"",""percentage"":0.000716},{""age"":""55-64"",""gender"":""male"",""percentage"":0.122975},{""age"":""55-64"",""gender"":""female"",""percentage"":0.118724},{""age"":""45-54"",""gender"":""unknown"",""percentage"":0.001074},{""age"":""45-54"",""gender"":""female"",""percentage"":0.085877},{""age"":""18-24"",""gender"":""male"",""percentage"":0.05021},{""age"":""35-44"",""gender"":""unknown"",""percentage"":0.001119},{""age"":""35-44"",""gender"":""male"",""percentage"":0.099526},{""age"":""35-44"",""gender"":""female"",""percentage"":0.061443},{""age"":""25-34"",""gender"":""unknown"",""percentage"":0.003267},{""age"":""25-34"",""gender"":""male"",""percentage"":0.085205},{""age"":""25-34"",""gender"":""female"",""percentage"":0.048644},{""age"":""18-24"",""gender"":""unknown"",""percentage"":0.005862},{""age"":""65+"",""gender"":""unknown"",""percentage"":0.000671}","{""region"":""Constan\u021ba County"",""percentage"":0.999272},{""region"":""Dobrich Province"",""percentage"":0.000455},{""region"":""Tulcea County"",""percentage"":0.000273}","facebook,instagram","lower_bound: 1000001",ro
8799652853454129,100561315341380,"Ilie-Alin Coleșa",2024-11-22,2024-11-22,,"Ilie-Alin Coleșa","Călin Georgescu - un creștin sau un păgân?
Creștin sau necreștin, în politică trebuie să îți asumi ceea ce ești. N-ai voie să te dai creștin dacă promovezi teorii păgâne.

Biserica creștină înseamnă libertate deplină. Biserica ne oferă libertatea și Adevărul. Totul e public, nimic nu e secret. Oamenii au libertatea de a alege să se desprindă de Biserică sau să o frecventeze ocazional, oarecum formal. Totul e public, nu e niciun sistem de inițiere obscur sau secret.

#CalinGeorgescu #pagan #dogma","Calin Georgescu pagân",fb.com,,"lower_bound: 7000, upper_bound: 7999","lower_bound: 100, upper_bound: 199",RON,"{""age"":""18-24"",""gender"":""female"",""percentage"":0.009107},{""age"":""45-54"",""gender"":""female"",""percentage"":0.069217},{""age"":""65+"",""gender"":""male"",""percentage"":0.093908},{""age"":""65+"",""gender"":""female"",""percentage"":0.14491},{""age"":""55-64"",""gender"":""unknown"",""percentage"":0.001012},{""age"":""55-64"",""gender"":""male"",""percentage"":0.173042},{""age"":""55-64"",""gender"":""female"",""percentage"":0.133374},{""age"":""45-54"",""gender"":""male"",""percentage"":0.159887},{""age"":""35-44"",""gender"":""unknown"",""percentage"":0.000607},{""age"":""18-24"",""gender"":""male"",""percentage"":0.015382},{""age"":""35-44"",""gender"":""male"",""percentage"":0.100992},{""age"":""35-44"",""gender"":""female"",""percentage"":0.02712},{""age"":""25-34"",""gender"":""unknown"",""percentage"":0.001012},{""age"":""25-34"",""gender"":""male"",""percentage"":0.051002},{""age"":""25-34"",""gender"":""female"",""percentage"":0.018822},{""age"":""18-24"",""gender"":""unknown"",""percentage"":0.000202},{""age"":""65+"",""gender"":""unknown"",""percentage"":0.000405}","{""region"":""Alba County"",""percentage"":0.014685},{""region"":""Prahova County"",""percentage"":0.026106},{""region"":""Ia\u0219i County"",""percentage"":0.075872},{""region"":""Ilfov County"",""percentage"":0.011014},{""region"":""Maramure\u0219 County"",""percentage"":0.013461},{""region"":""Mehedin\u021bi County"",""percentage"":0.00979},{""region"":""Mure\u0219 County"",""percentage"":0.016317},{""region"":""Neam\u021b County"",""percentage"":0.027942},{""region"":""Olt County"",""percentage"":0.011626},{""region"":""Satu Mare County"",""percentage"":0.00877},{""region"":""Hunedoara County"",""percentage"":0.027534},{""region"":""Sibiu County"",""percentage"":0.015501},{""region"":""Suceava County"",""percentage"":0.033041},{""region"":""S\u0103laj County"",""percentage"":0.008566},{""region"":""Teleorman County"",""percentage"":0.007954},{""region"":""Timi\u0219 County"",""percentage"":0.051193},{""region"":""Tulcea County"",""percentage"":0.007546},{""region"":""Vaslui County"",""percentage"":0.024883},{""region"":""Vrancea County"",""percentage"":0.015093},{""region"":""Ialomi\u021ba County"",""percentage"":0.007138},{""region"":""Harghita County"",""percentage"":0.003263},{""region"":""Arad County"",""percentage"":0.025087},{""region"":""Buz\u0103u County"",""percentage"":0.017744},{""region"":""Arge\u0219 County"",""percentage"":0.024067},{""region"":""Bac\u0103u County"",""percentage"":0.041811},{""region"":""Bihor County"",""percentage"":0.015909},{""region"":""Bistri\u021ba-N\u0103s\u0103ud County"",""percentage"":0.014481},{""region"":""Boto\u0219ani County"",""percentage"":0.01652},{""region"":""Bra\u0219ov County"",""percentage"":0.02631},{""region"":""Br\u0103ila County"",""percentage"":0.014889},{""region"":""Bucharest"",""percentage"":0.178054},{""region"":""Cara\u0219-Severin County"",""percentage"":0.018152},{""region"":""Gorj County"",""percentage"":0.016724},{""region"":""Cluj County"",""percentage"":0.039568},{""region"":""Constan\u021ba County"",""percentage"":0.032633},{""region"":""Covasna County"",""percentage"":0.005507},{""region"":""C\u0103l\u0103ra\u0219i County"",""percentage"":0.009382},{""region"":""Dolj County"",""percentage"":0.018968},{""region"":""D\u00e2mbovi\u021ba County"",""percentage"":0.014481},{""region"":""Gala\u021bi County"",""percentage"":0.026718},{""region"":""Giurgiu County"",""percentage"":0.009586},{""region"":""V\u00e2lcea County"",""percentage"":0.016113}","facebook,instagram","lower_bound: 1000001",ro
538396609008317,735622696818349,"PSD Dâmbovița",2024-11-22,2024-11-22,,"Computer Fun SRL","CALEA SIGURĂ PENTRU #PRODULEȘTI
CMF: 11240017",,,,"lower_bound: 1000, upper_bound: 1999","lower_bound: 0, upper_bound: 99",RON,"{""age"":""18-24"",""gender"":""female"",""percentage"":0.126822},{""age"":""18-24"",""gender"":""male"",""percentage"":0.094752},{""age"":""18-24"",""gender"":""unknown"",""percentage"":0.000729},{""age"":""25-34"",""gender"":""female"",""percentage"":0.098397},{""age"":""25-34"",""gender"":""male"",""percentage"":0.12172},{""age"":""25-34"",""gender"":""unknown"",""percentage"":0.002187},{""age"":""35-44"",""gender"":""female"",""percentage"":0.088921},{""age"":""35-44"",""gender"":""male"",""percentage"":0.095481},{""age"":""35-44"",""gender"":""unknown"",""percentage"":0.000729},{""age"":""45-54"",""gender"":""female"",""percentage"":0.099125},{""age"":""45-54"",""gender"":""male"",""percentage"":0.072886},{""age"":""55-64"",""gender"":""female"",""percentage"":0.075073},{""age"":""55-64"",""gender"":""male"",""percentage"":0.05758},{""age"":""65+"",""gender"":""female"",""percentage"":0.039359},{""age"":""65+"",""gender"":""male"",""percentage"":0.026239}","{""region"":""D\u00e2mbovi\u021ba County"",""percentage"":1}","facebook,instagram","lower_bound: 1001, upper_bound: 5000",ro
1752981645241567,735622696818349,"PSD Dâmbovița",2024-11-22,2024-11-22,,"Computer Fun SRL","CALEA SIGURĂ PENTRU #GURAFOII
CMF: 11240017",,,,"lower_bound: 1000, upper_bound: 1999","lower_bound: 0, upper_bound: 99",RON,"{""age"":""18-24"",""gender"":""female"",""percentage"":0.115272},{""age"":""18-24"",""gender"":""male"",""percentage"":0.094714},{""age"":""18-24"",""gender"":""unknown"",""percentage"":0.002203},{""age"":""25-34"",""gender"":""female"",""percentage"":0.103524},{""age"":""25-34"",""gender"":""male"",""percentage"":0.118209},{""age"":""25-34"",""gender"":""unknown"",""percentage"":0.002203},{""age"":""35-44"",""gender"":""female"",""percentage"":0.085169},{""age"":""35-44"",""gender"":""male"",""percentage"":0.073421},{""age"":""45-54"",""gender"":""female"",""percentage"":0.096182},{""age"":""45-54"",""gender"":""male"",""percentage"":0.091043},{""age"":""55-64"",""gender"":""female"",""percentage"":0.0837},{""age"":""55-64"",""gender"":""male"",""percentage"":0.061674},{""age"":""65+"",""gender"":""female"",""percentage"":0.049927},{""age"":""65+"",""gender"":""male"",""percentage"":0.022761}","{""region"":""D\u00e2mbovi\u021ba County"",""percentage"":1}","facebook,instagram","lower_bound: 100, upper_bound: 1000",ro
2229317524117504,206739243020505,"Aladin Georgescu",2024-11-21,2024-11-22,,"Aladin Georgescu","🔴 PROIECT DEPUS PENTRU CONSOLIDAREA, REABILITAREA ȘI DOTAREA CLĂDIRII FOSTEI MATERNITĂȚI 

Astăzi am depus un proiect foarte important pentru atragerea de fonduri europene în vederea reabilitării și dotării clădirii fostei maternități, situată pe Bulevardul Carol din Drobeta Turnu Severin.

Este vorba despre obiectivul 
“Reabilitare și dotare Secția Recuperare, Medicină Fizică și Balneologie din cadrul Spitalului Județean de Urgență Drobeta Turnu Severin”, în valoare de 135 757 029 lei, care a fost depus pe “Programul Național de Investiții în Infrastructura Unităților Spitalicești”, gestionat de 
Ministerul Investițiilor și Proiectelor Europene.

În paralel, cu fonduri guvernamentale se va implementa proiectul “Consolidare seismică, Secția Recuperare, Medicină Fizică și Balneologie din cadrul Spitalului Județean de Urgență Drobeta Turnu Severin”, în valoare de 43 373 454 lei, atrase prin Ministerul Dezvoltării, Lucrărilor Publice și Administrației, dar și cu o contribuție de 10 174 399 lei, din bugetul județului.

Sunt proiecte la care țin foarte mult pentru ca această clădire este una emblematică pentru municipiul Drobeta Turnu Severin și județul Mehedinți, astfel că am așteptat oportunitatea de atragere a fondurilor.
În urma investiției, unitatea va fi transformată în Secție de Recuperare, Medicină Fizică și Balneologie.
Aici vor funcționa: Compartiment primire bolnavi recuperare, Bază tratament-laborator recuperare, medicină fizică, balneologie, Ambulatoriu integrat - Cabinet integrat recuperare, medicină fizică, balneologie și proceduri de laborator.

Am avut sprijinul Guvernului României condus de președintele Marcel Ciolacu pentru toate investițiile realizate în sistemul medical din Mehedinți  și am convingerea că îl vom avea în continuare. 
Un vot important pentru PSD, în data de 1 decembrie înseamnă un număr mare de parlamentari pentru PSD și un guvern care să sprijine investițiile pe care le avem pentru județul Mehedinți.

La fel de important este votul din data de 24 noiembrie pentru viitorul președinte al României, Marcel Ciolacu!

Suntem pe #DRUMUL_CEL_BUN, pe #Calea_sigură_pentru_România!
CMF 11240017",,,,"lower_bound: 7000, upper_bound: 7999","lower_bound: 0, upper_bound: 99",RON,"{""age"":""18-24"",""gender"":""female"",""percentage"":0.026285},{""age"":""18-24"",""gender"":""male"",""percentage"":0.047862},{""age"":""25-34"",""gender"":""female"",""percentage"":0.061004},{""age"":""25-34"",""gender"":""male"",""percentage"":0.132209},{""age"":""25-34"",""gender"":""unknown"",""percentage"":0.000785},{""age"":""35-44"",""gender"":""female"",""percentage"":0.085328},{""age"":""35-44"",""gender"":""male"",""percentage"":0.158886},{""age"":""35-44"",""gender"":""unknown"",""percentage"":0.000588},{""age"":""45-54"",""gender"":""female"",""percentage"":0.111809},{""age"":""45-54"",""gender"":""male"",""percentage"":0.129855},{""age"":""45-54"",""gender"":""unknown"",""percentage"":0.000981},{""age"":""55-64"",""gender"":""female"",""percentage"":0.089251},{""age"":""55-64"",""gender"":""male"",""percentage"":0.071008},{""age"":""65+"",""gender"":""female"",""percentage"":0.049235},{""age"":""65+"",""gender"":""male"",""percentage"":0.034719},{""age"":""65+"",""gender"":""unknown"",""percentage"":0.000196}","{""region"":""Cara\u0219-Severin County"",""percentage"":0.006819},{""region"":""Central Serbia"",""percentage"":0.001003},{""region"":""Dolj County"",""percentage"":0.005816},{""region"":""Gorj County"",""percentage"":0.03931},{""region"":""Mehedin\u021bi County"",""percentage"":0.946851},{""region"":""Unknown"",""percentage"":0.000201}",facebook,"lower_bound: 100001, upper_bound: 500000",ro
1295955974741970,100139889588200,"Claudiu Nicolae Minculeasa",2024-11-21,2024-11-21,,"Claudiu Nicolae Minculeasa","@[100044554474307:2048:Aladin Georgescu]: 🔴 AU ÎNCEPUT LUCRĂRILE DE MODERNIZARE A DRUMULUI CARE TRAVERSEAZĂ LOCALITĂȚILE #ALMĂJEL ȘI #VLĂDAIA

Astăzi, împreună cu primarul comunei Vlădaia, Ovidiu Pîrșan, am fost pe DJ 563 A, acolo unde Consiliul Județean Mehedinți a început o investiție importantă pentru locuitorii comunei Vlădaia.
Astfel, modernizăm tronsonul de 6,5 km din Valea Almăjelului, de la intersecția cu DJ 606, până în mijlocul satului Almăjel.

Investiția presupune lărgirea drumului județean, de la 5,5 metri la 6 metri, două straturi de asfalt, rigole, parapet, peste 100 de accese la proprietăți, legături cu drumurile laterale.
În paralel, facem lucrări de întreținere pe drumul județean cuprins între localitățile Ștircovița și Drincea și căutăm soluții pentru a îmbunătăți condițiile de trafic pe drumul de la Scorila până la drumul județean 561A, Oprișor - Bălăcița.

Îi mulțumesc primarului Ovidiu Pîrșan pentru buna colaborare pe care a manifestat-o în relația administrativă cu Consiliul Județean încă de la începutul mandatului și îl asigur de tot sprijinul de care are nevoie!",,,,"lower_bound: 4000, upper_bound: 4999","lower_bound: 0, upper_bound: 99",RON,"{""age"":""18-24"",""gender"":""female"",""percentage"":0.008336},{""age"":""18-24"",""gender"":""male"",""percentage"":0.049122},{""age"":""25-34"",""gender"":""female"",""percentage"":0.024412},{""age"":""25-34"",""gender"":""male"",""percentage"":0.161953},{""age"":""25-34"",""gender"":""unknown"",""percentage"":0.000595},{""age"":""35-44"",""gender"":""female"",""percentage"":0.057755},{""age"":""35-44"",""gender"":""male"",""percentage"":0.178029},{""age"":""35-44"",""gender"":""unknown"",""percentage"":0.000893},{""age"":""45-54"",""gender"":""female"",""percentage"":0.076511},{""age"":""45-54"",""gender"":""male"",""percentage"":0.209884},{""age"":""45-54"",""gender"":""unknown"",""percentage"":0.000595},{""age"":""55-64"",""gender"":""female"",""percentage"":0.055076},{""age"":""55-64"",""gender"":""male"",""percentage"":0.109259},{""age"":""55-64"",""gender"":""unknown"",""percentage"":0.000298},{""age"":""65+"",""gender"":""female"",""percentage"":0.031557},{""age"":""65+"",""gender"":""male"",""percentage"":0.035725}","{""region"":""Cara\u0219-Severin County"",""percentage"":0.009146},{""region"":""Central Serbia"",""percentage"":0.00061},{""region"":""Dolj County"",""percentage"":0.003049},{""region"":""Gorj County"",""percentage"":0.027744},{""region"":""Mehedin\u021bi County"",""percentage"":0.959451}",facebook,"lower_bound: 100001, upper_bound: 500000",ro
1285438759162935,821269587938298,"Alina Gorghiu",2024-11-21,2024-11-21,,"Alina Gorghiu","Șoșoacă, Călin Georgescu, nu contează, PSD calcă tot în picioare! 

După ce controversată decizie CCR a scos-o din joc pe Diana Șoșoacă în absența unei condamnări, acum a venit rândul lui Călin Georgescu să fie cenzurat. PSD decide să îl pună pe Călin Georgescu să își șteargă toate postările de campanie. 

De ce? 
Pentru că nu au cod de mandatar - CMF - și nu pot fi astfel decontate. Un abuz al sistemului capturat de PSD. AEP putea să refuze decontul de campanie, putea să îl amendeze. Dar PSD a ales să îl cenzureze. De ce? E simplu - să îi netezească lui Simion drum în turul 2.

Acesta nu e primul blat. E semnul clar că PSD vrea un stat capturat.

CMF: 31240003",,,,"lower_bound: 10000, upper_bound: 14999","lower_bound: 100, upper_bound: 199",RON,"{""age"":""18-24"",""gender"":""female"",""percentage"":0.005184},{""age"":""45-54"",""gender"":""male"",""percentage"":0.189905},{""age"":""65+"",""gender"":""male"",""percentage"":0.134379},{""age"":""65+"",""gender"":""female"",""percentage"":0.15498},{""age"":""55-64"",""gender"":""unknown"",""percentage"":0.000955},{""age"":""55-64"",""gender"":""male"",""percentage"":0.205321},{""age"":""55-64"",""gender"":""female"",""percentage"":0.102592},{""age"":""45-54"",""gender"":""unknown"",""percentage"":0.000682},{""age"":""45-54"",""gender"":""female"",""percentage"":0.050887},{""age"":""18-24"",""gender"":""male"",""percentage"":0.01146},{""age"":""35-44"",""gender"":""unknown"",""percentage"":0.000136},{""age"":""35-44"",""gender"":""male"",""percentage"":0.082674},{""age"":""35-44"",""gender"":""female"",""percentage"":0.018827},{""age"":""25-34"",""gender"":""unknown"",""percentage"":0.000273},{""age"":""25-34"",""gender"":""male"",""percentage"":0.031378},{""age"":""25-34"",""gender"":""female"",""percentage"":0.00955},{""age"":""18-24"",""gender"":""unknown"",""percentage"":0.000136},{""age"":""65+"",""gender"":""unknown"",""percentage"":0.000682}","{""region"":""Arge\u0219 County"",""percentage"":1}","facebook,instagram","lower_bound: 500001, upper_bound: 1000000",ro
2421804898163471,406469825893586,"Daniel Gheorghe Georgescu",2024-11-20,2024-11-21,,"PSD Constanta","Omul sfințește locul, iar prietenul meu Genc Mevlit, președintele PSD Medgidia și candidat pe lista PSD de la Senat, a făcut adevărate minuni în cartierul numit pitoresc de toți cei din oraș „Ali Baba”, un cartier cu sărăcie mare, dar cu oameni demni și care vor un viitor mai bun. Un adevărat lider! Mergem pe calea sigură alături de oameni valoroși cu care punem Constanța înapoi în TOP! Votează echipa PSD Constanța! CMF11240017 #ConstanțaînapoiînTOP #Medgidia #PSDConstanța #CaleaSigură",,,,"lower_bound: 70000, upper_bound: 79999","lower_bound: 200, upper_bound: 299",RON,"{""age"":""18-24"",""gender"":""female"",""percentage"":0.033502},{""age"":""45-54"",""gender"":""male"",""percentage"":0.154082},{""age"":""65+"",""gender"":""male"",""percentage"":0.053206},{""age"":""65+"",""gender"":""female"",""percentage"":0.080382},{""age"":""55-64"",""gender"":""unknown"",""percentage"":0.000659},{""age"":""55-64"",""gender"":""male"",""percentage"":0.121226},{""age"":""55-64"",""gender"":""female"",""percentage"":0.111763},{""age"":""45-54"",""gender"":""unknown"",""percentage"":0.000896},{""age"":""45-54"",""gender"":""female"",""percentage"":0.081819},{""age"":""18-24"",""gender"":""male"",""percentage"":0.047934},{""age"":""35-44"",""gender"":""unknown"",""percentage"":0.00141},{""age"":""35-44"",""gender"":""male"",""percentage"":0.121028},{""age"":""35-44"",""gender"":""female"",""percentage"":0.054313},{""age"":""25-34"",""gender"":""unknown"",""percentage"":0.002227},{""age"":""25-34"",""gender"":""male"",""percentage"":0.086511},{""age"":""25-34"",""gender"":""female"",""percentage"":0.044204},{""age"":""18-24"",""gender"":""unknown"",""percentage"":0.004349},{""age"":""65+"",""gender"":""unknown"",""percentage"":0.000488}","{""region"":""Constan\u021ba County"",""percentage"":0.989735},{""region"":""C\u0103l\u0103ra\u0219i County"",""percentage"":0.000212},{""region"":""Dobrich Province"",""percentage"":0.000212},{""region"":""Ialomi\u021ba County"",""percentage"":0.009841}","facebook,instagram","lower_bound: 1000001",ro
1522225071729641,406469825893586,"Daniel Gheorghe Georgescu",2024-11-20,2024-11-20,,"PSD Constanta","Vreau plaje cu adevărat publice. Să putem alege între prosopul personal sau șezlongul cu bani! #Plajepublice #PSDConstanța #ConstanțainapoiînTOP",,,,"lower_bound: 30000, upper_bound: 34999","lower_bound: 100, upper_bound: 199",RON,"{""age"":""18-24"",""gender"":""female"",""percentage"":0.046268},{""age"":""45-54"",""gender"":""male"",""percentage"":0.150221},{""age"":""65+"",""gender"":""male"",""percentage"":0.047695},{""age"":""65+"",""gender"":""female"",""percentage"":0.069169},{""age"":""55-64"",""gender"":""unknown"",""percentage"":0.000631},{""age"":""55-64"",""gender"":""male"",""percentage"":0.099638},{""age"":""55-64"",""gender"":""female"",""percentage"":0.097282},{""age"":""45-54"",""gender"":""unknown"",""percentage"":0.000531},{""age"":""45-54"",""gender"":""female"",""percentage"":0.094295},{""age"":""18-24"",""gender"":""male"",""percentage"":0.06429},{""age"":""35-44"",""gender"":""unknown"",""percentage"":0.000465},{""age"":""35-44"",""gender"":""male"",""percentage"":0.131667},{""age"":""35-44"",""gender"":""female"",""percentage"":0.055395},{""age"":""25-34"",""gender"":""unknown"",""percentage"":0.000498},{""age"":""25-34"",""gender"":""male"",""percentage"":0.10226},{""age"":""25-34"",""gender"":""female"",""percentage"":0.038269},{""age"":""18-24"",""gender"":""unknown"",""percentage"":0.001228},{""age"":""65+"",""gender"":""unknown"",""percentage"":0.000199}","{""region"":""Constan\u021ba County"",""percentage"":0.998547},{""region"":""Dobrich Province"",""percentage"":0.000135},{""region"":""Tulcea County"",""percentage"":0.001317}","facebook,instagram","lower_bound: 100001, upper_bound: 500000",ro
